t,Sv0,Sg0,Sg1,Sg2,Sg3,Iv0,Ig0,Ig1,Ig2,Ig3,Rv0,Rg0,Rg1,Rg2,Rg3,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIv, pIv,pIs,pIg
355,0.158307,0.090545,0.090545,0.090545,0.090545,0.000171592,0.000503846,0.000503846,0.000503846,0.000503846,0.0415215,0.108951,0.108951,0.108951,0.108951,0.0669256,0.161161,0.161161,0.161161,0.161161,0.0669256,0.000857961,nan,0.00251923
356,0.158404,0.0907949,0.0907949,0.0907949,0.0907949,0.000167794,0.000493855,0.000493855,0.000493855,0.000493855,0.0414277,0.108711,0.108711,0.108711,0.108711,0.0669416,0.161209,0.161209,0.161209,0.161209,0.0669416,0.000838971,nan,0.00246928
357,0.158502,0.091045,0.091045,0.091045,0.091045,0.000164123,0.00048419,0.00048419,0.00048419,0.00048419,0.0413337,0.108471,0.108471,0.108471,0.108471,0.0669573,0.161256,0.161256,0.161256,0.161256,0.0669573,0.000820616,nan,0.00242095
358,0.1586,0.0912953,0.0912953,0.0912953,0.0912953,0.000160575,0.000474839,0.000474839,0.000474839,0.000474839,0.0412395,0.10823,0.10823,0.10823,0.10823,0.0669727,0.161303,0.161303,0.161303,0.161303,0.0669727,0.000802876,nan,0.0023742
359,0.158698,0.0915456,0.0915456,0.0915456,0.0915456,0.000157145,0.000465791,0.000465791,0.000465791,0.000465791,0.0411452,0.107989,0.107989,0.107989,0.107989,0.0669878,0.161349,0.161349,0.161349,0.161349,0.0669878,0.000785726,nan,0.00232896
360,0.158795,0.0917961,0.0917961,0.0917961,0.0917961,0.000153829,0.000457036,0.000457036,0.000457036,0.000457036,0.0410508,0.107747,0.107747,0.107747,0.107747,0.0670026,0.161394,0.161394,0.161394,0.161394,0.0670026,0.000769147,nan,0.00228518
361,0.158893,0.0920466,0.0920466,0.0920466,0.0920466,0.000150624,0.000448564,0.000448564,0.000448564,0.000448564,0.0409562,0.107505,0.107505,0.107505,0.107505,0.0670172,0.161438,0.161438,0.161438,0.161438,0.0670172,0.000753118,nan,0.00224282
362,0.158991,0.0922971,0.0922971,0.0922971,0.0922971,0.000147524,0.000440365,0.000440365,0.000440365,0.000440365,0.0408615,0.107263,0.107263,0.107263,0.107263,0.0670315,0.161482,0.161482,0.161482,0.161482,0.0670315,0.00073762,nan,0.00220183
363,0.159089,0.0925477,0.0925477,0.0925477,0.0925477,0.000144527,0.00043243,0.00043243,0.00043243,0.00043243,0.0407667,0.10702,0.10702,0.10702,0.10702,0.0670455,0.161525,0.161525,0.161525,0.161525,0.0670455,0.000722633,nan,0.00216215
364,0.159187,0.0927982,0.0927982,0.0927982,0.0927982,0.000141628,0.00042475,0.00042475,0.00042475,0.00042475,0.0406719,0.106777,0.106777,0.106777,0.106777,0.0670593,0.161567,0.161567,0.161567,0.161567,0.0670593,0.00070814,nan,0.00212375
365,0.159284,0.0930487,0.0930487,0.0930487,0.0930487,0.000138825,0.000417316,0.000417316,0.000417316,0.000417316,0.0405769,0.106534,0.106534,0.106534,0.106534,0.0670729,0.161609,0.161609,0.161609,0.161609,0.0670729,0.000694124,nan,0.00208658
366,0.159382,0.0932992,0.0932992,0.0932992,0.0932992,0.000136113,0.00041012,0.00041012,0.00041012,0.00041012,0.0404819,0.106291,0.106291,0.106291,0.106291,0.0670862,0.16165,0.16165,0.16165,0.16165,0.0670862,0.000680567,nan,0.0020506
367,0.15948,0.0935496,0.0935496,0.0935496,0.0935496,0.000133491,0.000403155,0.000403155,0.000403155,0.000403155,0.0403869,0.106047,0.106047,0.106047,0.106047,0.0670993,0.16169,0.16169,0.16169,0.16169,0.0670993,0.000667454,nan,0.00201578
368,0.159577,0.0937999,0.0937999,0.0937999,0.0937999,0.000130954,0.000396413,0.000396413,0.000396413,0.000396413,0.0402918,0.105804,0.105804,0.105804,0.105804,0.0671122,0.16173,0.16173,0.16173,0.16173,0.0671122,0.000654769,nan,0.00198206
369,0.159675,0.0940501,0.0940501,0.0940501,0.0940501,0.0001285,0.000389885,0.000389885,0.000389885,0.000389885,0.0401967,0.10556,0.10556,0.10556,0.10556,0.0671249,0.16177,0.16177,0.16177,0.16177,0.0671249,0.000642499,nan,0.00194943
370,0.159772,0.0943001,0.0943001,0.0943001,0.0943001,0.000126126,0.000383567,0.000383567,0.000383567,0.000383567,0.0401015,0.105316,0.105316,0.105316,0.105316,0.0671374,0.161809,0.161809,0.161809,0.161809,0.0671374,0.000630628,nan,0.00191783
371,0.15987,0.09455,0.09455,0.09455,0.09455,0.000123828,0.00037745,0.00037745,0.00037745,0.00037745,0.0400064,0.105073,0.105073,0.105073,0.105073,0.0671497,0.161847,0.161847,0.161847,0.161847,0.0671497,0.000619142,nan,0.00188725
372,0.159967,0.0947998,0.0947998,0.0947998,0.0947998,0.000121606,0.000371528,0.000371528,0.000371528,0.000371528,0.0399112,0.104829,0.104829,0.104829,0.104829,0.0671618,0.161885,0.161885,0.161885,0.161885,0.0671618,0.00060803,nan,0.00185764
373,0.160064,0.0950494,0.0950494,0.0950494,0.0950494,0.000119456,0.000365795,0.000365795,0.000365795,0.000365795,0.0398161,0.104585,0.104585,0.104585,0.104585,0.0671737,0.161922,0.161922,0.161922,0.161922,0.0671737,0.000597278,nan,0.00182897
374,0.160162,0.0952988,0.0952988,0.0952988,0.0952988,0.000117375,0.000360245,0.000360245,0.000360245,0.000360245,0.0397209,0.104341,0.104341,0.104341,0.104341,0.0671854,0.161959,0.161959,0.161959,0.161959,0.0671854,0.000586874,nan,0.00180122
375,0.160259,0.095548,0.095548,0.095548,0.095548,0.000115361,0.000354872,0.000354872,0.000354872,0.000354872,0.0396258,0.104097,0.104097,0.104097,0.104097,0.067197,0.161995,0.161995,0.161995,0.161995,0.067197,0.000576807,nan,0.00177436
376,0.160356,0.0957969,0.0957969,0.0957969,0.0957969,0.000113413,0.000349671,0.000349671,0.000349671,0.000349671,0.0395307,0.103853,0.103853,0.103853,0.103853,0.0672084,0.162031,0.162031,0.162031,0.162031,0.0672084,0.000567066,nan,0.00174836
377,0.160453,0.0960456,0.0960456,0.0960456,0.0960456,0.000111528,0.000344637,0.000344637,0.000344637,0.000344637,0.0394357,0.10361,0.10361,0.10361,0.10361,0.0672196,0.162066,0.162066,0.162066,0.162066,0.0672196,0.000557639,nan,0.00172319
378,0.16055,0.0962941,0.0962941,0.0962941,0.0962941,0.000109703,0.000339764,0.000339764,0.000339764,0.000339764,0.0393407,0.103366,0.103366,0.103366,0.103366,0.0672307,0.162101,0.162101,0.162101,0.162101,0.0672307,0.000548517,nan,0.00169882
379,0.160646,0.0965423,0.0965423,0.0965423,0.0965423,0.000107938,0.000335047,0.000335047,0.000335047,0.000335047,0.0392457,0.103123,0.103123,0.103123,0.103123,0.0672416,0.162136,0.162136,0.162136,0.162136,0.0672416,0.000539689,nan,0.00167524
380,0.160743,0.0967903,0.0967903,0.0967903,0.0967903,0.000106229,0.000330483,0.000330483,0.000330483,0.000330483,0.0391508,0.102879,0.102879,0.102879,0.102879,0.0672524,0.16217,0.16217,0.16217,0.16217,0.0672524,0.000531146,nan,0.00165241
381,0.160839,0.0970379,0.0970379,0.0970379,0.0970379,0.000104576,0.000326065,0.000326065,0.000326065,0.000326065,0.039056,0.102636,0.102636,0.102636,0.102636,0.0672631,0.162204,0.162204,0.162204,0.162204,0.0672631,0.000522879,nan,0.00163032
382,0.160936,0.0972852,0.0972852,0.0972852,0.0972852,0.000102976,0.00032179,0.00032179,0.00032179,0.00032179,0.0389612,0.102393,0.102393,0.102393,0.102393,0.0672736,0.162238,0.162238,0.162238,0.162238,0.0672736,0.00051488,nan,0.00160895
383,0.161032,0.0975323,0.0975323,0.0975323,0.0975323,0.000101428,0.000317654,0.000317654,0.000317654,0.000317654,0.0388665,0.10215,0.10215,0.10215,0.10215,0.067284,0.162271,0.162271,0.162271,0.162271,0.067284,0.000507138,nan,0.00158827
384,0.161128,0.097779,0.097779,0.097779,0.097779,9.99E-05,0.000313652,0.000313652,0.000313652,0.000313652,0.0387719,0.101907,0.101907,0.101907,0.101907,0.0672942,0.162304,0.162304,0.162304,0.162304,0.0672942,0.000499648,nan,0.00156826
385,0.161224,0.0980253,0.0980253,0.0980253,0.0980253,9.85E-05,0.000309781,0.000309781,0.000309781,0.000309781,0.0386774,0.101665,0.101665,0.101665,0.101665,0.0673043,0.162336,0.162336,0.162336,0.162336,0.0673043,0.0004924,nan,0.00154891
386,0.16132,0.0982713,0.0982713,0.0982713,0.0982713,9.71E-05,0.000306037,0.000306037,0.000306037,0.000306037,0.038583,0.101423,0.101423,0.101423,0.101423,0.0673143,0.162368,0.162368,0.162368,0.162368,0.0673143,0.000485388,nan,0.00153019
387,0.161416,0.098517,0.098517,0.098517,0.098517,9.57E-05,0.000302417,0.000302417,0.000302417,0.000302417,0.0384886,0.101181,0.101181,0.101181,0.101181,0.0673242,0.1624,0.1624,0.1624,0.1624,0.0673242,0.000478603,nan,0.00151209
388,0.161511,0.0987623,0.0987623,0.0987623,0.0987623,9.44E-05,0.000298917,0.000298917,0.000298917,0.000298917,0.0383944,0.100939,0.100939,0.100939,0.100939,0.067334,0.162432,0.162432,0.162432,0.162432,0.067334,0.00047204,nan,0.00149458
389,0.161607,0.0990072,0.0990072,0.0990072,0.0990072,9.31E-05,0.000295533,0.000295533,0.000295533,0.000295533,0.0383003,0.100697,0.100697,0.100697,0.100697,0.0673437,0.162463,0.162463,0.162463,0.162463,0.0673437,0.000465691,nan,0.00147767
390,0.161702,0.0992517,0.0992517,0.0992517,0.0992517,9.19E-05,0.000292263,0.000292263,0.000292263,0.000292263,0.0382063,0.100456,0.100456,0.100456,0.100456,0.0673532,0.162494,0.162494,0.162494,0.162494,0.0673532,0.00045955,nan,0.00146131
391,0.161797,0.0994959,0.0994959,0.0994959,0.0994959,9.07E-05,0.000289103,0.000289103,0.000289103,0.000289103,0.0381124,0.100215,0.100215,0.100215,0.100215,0.0673627,0.162525,0.162525,0.162525,0.162525,0.0673627,0.000453611,nan,0.00144552
392,0.161892,0.0997396,0.0997396,0.0997396,0.0997396,8.96E-05,0.000286051,0.000286051,0.000286051,0.000286051,0.0380186,0.0999744,0.0999744,0.0999744,0.0999744,0.0673721,0.162556,0.162556,0.162556,0.162556,0.0673721,0.000447868,nan,0.00143026
393,0.161987,0.0999829,0.0999829,0.0999829,0.0999829,8.85E-05,0.000283104,0.000283104,0.000283104,0.000283104,0.037925,0.099734,0.099734,0.099734,0.099734,0.0673814,0.162586,0.162586,0.162586,0.162586,0.0673814,0.000442316,nan,0.00141552
394,0.162081,0.100226,0.100226,0.100226,0.100226,8.74E-05,0.000280259,0.000280259,0.000280259,0.000280259,0.0378315,0.0994939,0.0994939,0.0994939,0.0994939,0.0673905,0.162616,0.162616,0.162616,0.162616,0.0673905,0.000436948,nan,0.00140129
395,0.162176,0.100468,0.100468,0.100468,0.100468,8.64E-05,0.000277513,0.000277513,0.000277513,0.000277513,0.0377381,0.0992542,0.0992542,0.0992542,0.0992542,0.0673996,0.162646,0.162646,0.162646,0.162646,0.0673996,0.00043176,nan,0.00138757
396,0.16227,0.10071,0.10071,0.10071,0.10071,8.53E-05,0.000274864,0.000274864,0.000274864,0.000274864,0.0376448,0.0990149,0.0990149,0.0990149,0.0990149,0.0674087,0.162675,0.162675,0.162675,0.162675,0.0674087,0.000426747,nan,0.00137432
397,0.162364,0.100952,0.100952,0.100952,0.100952,8.44E-05,0.00027231,0.00027231,0.00027231,0.00027231,0.0375517,0.0987758,0.0987758,0.0987758,0.0987758,0.0674176,0.162705,0.162705,0.162705,0.162705,0.0674176,0.000421903,nan,0.00136155
398,0.162458,0.101193,0.101193,0.101193,0.101193,8.34E-05,0.000269848,0.000269848,0.000269848,0.000269848,0.0374588,0.0985372,0.0985372,0.0985372,0.0985372,0.0674265,0.162734,0.162734,0.162734,0.162734,0.0674265,0.000417224,nan,0.00134924
399,0.162552,0.101434,0.101434,0.101434,0.101434,8.25E-05,0.000267476,0.000267476,0.000267476,0.000267476,0.037366,0.0982989,0.0982989,0.0982989,0.0982989,0.0674352,0.162763,0.162763,0.162763,0.162763,0.0674352,0.000412706,nan,0.00133738
400,0.162645,0.101674,0.101674,0.101674,0.101674,8.17E-05,0.000265192,0.000265192,0.000265192,0.000265192,0.0372733,0.098061,0.098061,0.098061,0.098061,0.0674439,0.162791,0.162791,0.162791,0.162791,0.0674439,0.000408344,nan,0.00132596
401,0.162738,0.101914,0.101914,0.101914,0.101914,8.08E-05,0.000262994,0.000262994,0.000262994,0.000262994,0.0371808,0.0978235,0.0978235,0.0978235,0.0978235,0.0674526,0.16282,0.16282,0.16282,0.16282,0.0674526,0.000404134,nan,0.00131497
402,0.162832,0.102153,0.102153,0.102153,0.102153,8.00E-05,0.000260879,0.000260879,0.000260879,0.000260879,0.0370884,0.0975863,0.0975863,0.0975863,0.0975863,0.0674612,0.162849,0.162849,0.162849,0.162849,0.0674612,0.000400073,nan,0.0013044
403,0.162925,0.102392,0.102392,0.102392,0.102392,7.92E-05,0.000258847,0.000258847,0.000258847,0.000258847,0.0369962,0.0973496,0.0973496,0.0973496,0.0973496,0.0674697,0.162877,0.162877,0.162877,0.162877,0.0674697,0.000396156,nan,0.00129424
404,0.163017,0.10263,0.10263,0.10263,0.10263,7.85E-05,0.000256895,0.000256895,0.000256895,0.000256895,0.0369042,0.0971133,0.0971133,0.0971133,0.0971133,0.0674781,0.162905,0.162905,0.162905,0.162905,0.0674781,0.00039238,nan,0.00128448
