t,Sv0,Sg0,Sg1,Sg2,Sg3,Iv0,Ig0,Ig1,Ig2,Ig3,Rv0,Rg0,Rg1,Rg2,Rg3,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIv, pIv,pIs,pIg
200,0.171896,0.152955,0.152955,0.152955,0.152955,0.00154754,0.00704362,0.00704362,0.00704362,0.00704362,0.0265565,0.0400009,0.0400009,0.0400009,0.0400009,0.0362386,0.0561896,0.0561896,0.0561896,0.0561896,0.0362386,0.00773771,nan,0.0352181
201,0.171725,0.151901,0.151901,0.151901,0.151901,0.00160728,0.00736748,0.00736748,0.00736748,0.00736748,0.0266676,0.0407311,0.0407311,0.0407311,0.0407311,0.0364824,0.0573542,0.0573542,0.0573542,0.0573542,0.0364824,0.00803639,nan,0.0368374
202,0.171544,0.150805,0.150805,0.150805,0.150805,0.00167056,0.00769738,0.00769738,0.00769738,0.00769738,0.0267856,0.0414974,0.0414974,0.0414974,0.0414974,0.0367369,0.058563,0.058563,0.058563,0.058563,0.0367369,0.00835278,nan,0.0384869
203,0.171352,0.149667,0.149667,0.149667,0.149667,0.00173714,0.00803248,0.00803248,0.00803248,0.00803248,0.0269109,0.0423003,0.0423003,0.0423003,0.0423003,0.0370023,0.0598158,0.0598158,0.0598158,0.0598158,0.0370023,0.00868571,nan,0.0401624
204,0.171149,0.148488,0.148488,0.148488,0.148488,0.0018068,0.00837183,0.00837183,0.00837183,0.00837183,0.0270437,0.0431404,0.0431404,0.0431404,0.0431404,0.0372787,0.0611123,0.0611123,0.0611123,0.0611123,0.0372787,0.00903401,nan,0.0418592
205,0.170936,0.147268,0.147268,0.147268,0.147268,0.00187929,0.00871441,0.00871441,0.00871441,0.00871441,0.0271845,0.0440179,0.0440179,0.0440179,0.0440179,0.0375662,0.0624517,0.0624517,0.0624517,0.0624517,0.0375662,0.00939645,nan,0.0435721
206,0.170712,0.146008,0.146008,0.146008,0.146008,0.00195435,0.00905909,0.00905909,0.00905909,0.00905909,0.0273334,0.044933,0.044933,0.044933,0.044933,0.0378649,0.0638334,0.0638334,0.0638334,0.0638334,0.0378649,0.00977174,nan,0.0452955
207,0.170477,0.144709,0.144709,0.144709,0.144709,0.00203171,0.00940465,0.00940465,0.00940465,0.00940465,0.0274909,0.0458859,0.0458859,0.0458859,0.0458859,0.0381749,0.0652562,0.0652562,0.0652562,0.0652562,0.0381749,0.0101586,nan,0.0470233
208,0.170232,0.143374,0.143374,0.143374,0.143374,0.00211111,0.00974979,0.00974979,0.00974979,0.00974979,0.027657,0.0468764,0.0468764,0.0468764,0.0468764,0.0384959,0.066719,0.066719,0.066719,0.066719,0.0384959,0.0105555,nan,0.048749
209,0.169976,0.142002,0.142002,0.142002,0.142002,0.00219223,0.0100931,0.0100931,0.0100931,0.0100931,0.0278321,0.0479044,0.0479044,0.0479044,0.0479044,0.0388281,0.0682201,0.0682201,0.0682201,0.0682201,0.0388281,0.0109611,nan,0.0504657
210,0.169709,0.140597,0.140597,0.140597,0.140597,0.00227478,0.0104333,0.0104333,0.0104333,0.0104333,0.0280162,0.0489694,0.0489694,0.0489694,0.0489694,0.0391713,0.0697579,0.0697579,0.0697579,0.0697579,0.0391713,0.0113739,nan,0.0521663
211,0.169432,0.139161,0.139161,0.139161,0.139161,0.00235844,0.0107687,0.0107687,0.0107687,0.0107687,0.0282095,0.0500708,0.0500708,0.0500708,0.0500708,0.0395253,0.0713304,0.0713304,0.0713304,0.0713304,0.0395253,0.0117922,nan,0.0538434
212,0.169145,0.137694,0.137694,0.137694,0.137694,0.00244286,0.0110978,0.0110978,0.0110978,0.0110978,0.0284121,0.051208,0.051208,0.051208,0.051208,0.0398898,0.0729354,0.0729354,0.0729354,0.0729354,0.0398898,0.0122143,nan,0.0554892
213,0.168848,0.136201,0.136201,0.136201,0.136201,0.00252772,0.0114192,0.0114192,0.0114192,0.0114192,0.028624,0.0523799,0.0523799,0.0523799,0.0523799,0.0402647,0.0745707,0.0745707,0.0745707,0.0745707,0.0402647,0.0126386,nan,0.0570961
214,0.168542,0.134683,0.134683,0.134683,0.134683,0.00261264,0.0117313,0.0117313,0.0117313,0.0117313,0.0288452,0.0535856,0.0535856,0.0535856,0.0535856,0.0406495,0.0762335,0.0762335,0.0762335,0.0762335,0.0406495,0.0130632,nan,0.0586563
215,0.168227,0.133144,0.133144,0.133144,0.133144,0.00269727,0.0120324,0.0120324,0.0120324,0.0120324,0.0290756,0.0548237,0.0548237,0.0548237,0.0548237,0.041044,0.0779213,0.0779213,0.0779213,0.0779213,0.041044,0.0134864,nan,0.060162
216,0.167903,0.131586,0.131586,0.131586,0.131586,0.00278123,0.0123211,0.0123211,0.0123211,0.0123211,0.0293153,0.0560928,0.0560928,0.0560928,0.0560928,0.0414476,0.0796311,0.0796311,0.0796311,0.0796311,0.0414476,0.0139062,nan,0.0616056
217,0.167572,0.130013,0.130013,0.130013,0.130013,0.00286415,0.012596,0.012596,0.012596,0.012596,0.029564,0.0573913,0.0573913,0.0573913,0.0573913,0.0418599,0.0813599,0.0813599,0.0813599,0.0813599,0.0418599,0.0143207,nan,0.0629798
218,0.167233,0.128427,0.128427,0.128427,0.128427,0.00294564,0.0128555,0.0128555,0.0128555,0.0128555,0.0298217,0.0587174,0.0587174,0.0587174,0.0587174,0.0422804,0.0831045,0.0831045,0.0831045,0.0831045,0.0422804,0.0147282,nan,0.0642775
219,0.166887,0.126832,0.126832,0.126832,0.126832,0.00302533,0.0130984,0.0130984,0.0130984,0.0130984,0.030088,0.0600692,0.0600692,0.0600692,0.0600692,0.0427085,0.0848619,0.0848619,0.0848619,0.0848619,0.0427085,0.0151267,nan,0.0654921
220,0.166534,0.125232,0.125232,0.125232,0.125232,0.00310285,0.0133235,0.0133235,0.0133235,0.0133235,0.0303628,0.0614445,0.0614445,0.0614445,0.0614445,0.0431436,0.0866288,0.0866288,0.0866288,0.0866288,0.0431436,0.0155143,nan,0.0666173
221,0.166176,0.123629,0.123629,0.123629,0.123629,0.00317783,0.0135295,0.0135295,0.0135295,0.0135295,0.0306457,0.0628412,0.0628412,0.0628412,0.0628412,0.043585,0.0884017,0.0884017,0.0884017,0.0884017,0.043585,0.0158892,nan,0.0676476
222,0.165814,0.122027,0.122027,0.122027,0.122027,0.00324992,0.0137156,0.0137156,0.0137156,0.0137156,0.0309364,0.0642569,0.0642569,0.0642569,0.0642569,0.0440322,0.0901776,0.0901776,0.0901776,0.0901776,0.0440322,0.0162496,nan,0.0685778
223,0.165447,0.12043,0.12043,0.12043,0.12043,0.00331878,0.0138808,0.0138808,0.0138808,0.0138808,0.0312345,0.0656893,0.0656893,0.0656893,0.0656893,0.0444843,0.0919532,0.0919532,0.0919532,0.0919532,0.0444843,0.0165939,nan,0.0694038
224,0.165076,0.11884,0.11884,0.11884,0.11884,0.00338408,0.0140244,0.0140244,0.0140244,0.0140244,0.0315397,0.0671357,0.0671357,0.0671357,0.0671357,0.0449408,0.0937251,0.0937251,0.0937251,0.0937251,0.0449408,0.0169204,nan,0.0701218
225,0.164703,0.117261,0.117261,0.117261,0.117261,0.00344553,0.0141458,0.0141458,0.0141458,0.0141458,0.0318513,0.0685936,0.0685936,0.0685936,0.0685936,0.0454007,0.0954904,0.0954904,0.0954904,0.0954904,0.0454007,0.0172276,nan,0.0707291
226,0.164328,0.115695,0.115695,0.115695,0.115695,0.00350284,0.0142447,0.0142447,0.0142447,0.0142447,0.0321691,0.0700603,0.0700603,0.0700603,0.0700603,0.0458635,0.097246,0.097246,0.097246,0.097246,0.0458635,0.0175142,nan,0.0712234
227,0.163952,0.114146,0.114146,0.114146,0.114146,0.00355577,0.0143207,0.0143207,0.0143207,0.0143207,0.0324924,0.0715332,0.0715332,0.0715332,0.0715332,0.0463283,0.0989889,0.0989889,0.0989889,0.0989889,0.0463283,0.0177788,nan,0.0716037
228,0.163575,0.112616,0.112616,0.112616,0.112616,0.00360408,0.0143739,0.0143739,0.0143739,0.0143739,0.0328207,0.0730097,0.0730097,0.0730097,0.0730097,0.0467944,0.100716,0.100716,0.100716,0.100716,0.0467944,0.0180204,nan,0.0718693
229,0.163199,0.111109,0.111109,0.111109,0.111109,0.00364758,0.0144041,0.0144041,0.0144041,0.0144041,0.0331535,0.0744869,0.0744869,0.0744869,0.0744869,0.0472611,0.102426,0.102426,0.102426,0.102426,0.0472611,0.0182379,nan,0.0720206
230,0.162824,0.109626,0.109626,0.109626,0.109626,0.00368611,0.0144117,0.0144117,0.0144117,0.0144117,0.0334901,0.0759623,0.0759623,0.0759623,0.0759623,0.0477275,0.104115,0.104115,0.104115,0.104115,0.0477275,0.0184306,nan,0.0720586
231,0.16245,0.10817,0.10817,0.10817,0.10817,0.00371954,0.014397,0.014397,0.014397,0.014397,0.0338301,0.0774333,0.0774333,0.0774333,0.0774333,0.0481931,0.105781,0.105781,0.105781,0.105781,0.0481931,0.0185977,nan,0.0719851
232,0.16208,0.106742,0.106742,0.106742,0.106742,0.00374775,0.0143605,0.0143605,0.0143605,0.0143605,0.0341726,0.0788972,0.0788972,0.0788972,0.0788972,0.048657,0.107423,0.107423,0.107423,0.107423,0.048657,0.0187388,nan,0.0718026
233,0.161712,0.105346,0.105346,0.105346,0.105346,0.0037707,0.0143028,0.0143028,0.0143028,0.0143028,0.0345173,0.0803516,0.0803516,0.0803516,0.0803516,0.0491187,0.109038,0.109038,0.109038,0.109038,0.0491187,0.0188535,nan,0.0715141
234,0.161348,0.103981,0.103981,0.103981,0.103981,0.00378833,0.0142247,0.0142247,0.0142247,0.0142247,0.0348633,0.0817942,0.0817942,0.0817942,0.0817942,0.0495774,0.110624,0.110624,0.110624,0.110624,0.0495774,0.0189417,nan,0.0711233
235,0.160989,0.102651,0.102651,0.102651,0.102651,0.00380066,0.0141269,0.0141269,0.0141269,0.0141269,0.0352102,0.0832225,0.0832225,0.0832225,0.0832225,0.0500326,0.112181,0.112181,0.112181,0.112181,0.0500326,0.0190033,nan,0.0706343
236,0.160635,0.101355,0.101355,0.101355,0.101355,0.0038077,0.0140103,0.0140103,0.0140103,0.0140103,0.0355572,0.0846344,0.0846344,0.0846344,0.0846344,0.0504836,0.113706,0.113706,0.113706,0.113706,0.0504836,0.0190385,nan,0.0700517
237,0.160287,0.100096,0.100096,0.100096,0.100096,0.00380952,0.0138761,0.0138761,0.0138761,0.0138761,0.0359038,0.0860278,0.0860278,0.0860278,0.0860278,0.0509299,0.115199,0.115199,0.115199,0.115199,0.0509299,0.0190476,nan,0.0693807
238,0.159944,0.0988739,0.0988739,0.0988739,0.0988739,0.00380619,0.0137253,0.0137253,0.0137253,0.0137253,0.0362493,0.0874008,0.0874008,0.0874008,0.0874008,0.051371,0.116659,0.116659,0.116659,0.116659,0.051371,0.019031,nan,0.0686263
239,0.159609,0.0976896,0.0976896,0.0976896,0.0976896,0.00379783,0.0135589,0.0135589,0.0135589,0.0135589,0.0365933,0.0887516,0.0887516,0.0887516,0.0887516,0.0518063,0.118085,0.118085,0.118085,0.118085,0.0518063,0.0189892,nan,0.0677943
240,0.15928,0.0965436,0.0965436,0.0965436,0.0965436,0.00378458,0.013378,0.013378,0.013378,0.013378,0.036935,0.0900784,0.0900784,0.0900784,0.0900784,0.0522355,0.119476,0.119476,0.119476,0.119476,0.0522355,0.0189229,nan,0.0668902
241,0.158959,0.0954363,0.0954363,0.0954363,0.0954363,0.0037666,0.013184,0.013184,0.013184,0.013184,0.0372739,0.0913797,0.0913797,0.0913797,0.0913797,0.0526582,0.120832,0.120832,0.120832,0.120832,0.0526582,0.018833,nan,0.06592
242,0.158646,0.0943679,0.0943679,0.0943679,0.0943679,0.00374405,0.0129779,0.0129779,0.0129779,0.0129779,0.0376096,0.0926542,0.0926542,0.0926542,0.0926542,0.0530739,0.122152,0.122152,0.122152,0.122152,0.0530739,0.0187203,nan,0.0648896
243,0.158341,0.0933386,0.0933386,0.0933386,0.0933386,0.00371714,0.012761,0.012761,0.012761,0.012761,0.0379415,0.0939005,0.0939005,0.0939005,0.0939005,0.0534823,0.123437,0.123437,0.123437,0.123437,0.0534823,0.0185857,nan,0.0638049
244,0.158045,0.0923482,0.0923482,0.0923482,0.0923482,0.00368607,0.0125343,0.0125343,0.0125343,0.0125343,0.0382691,0.0951175,0.0951175,0.0951175,0.0951175,0.0538832,0.124686,0.124686,0.124686,0.124686,0.0538832,0.0184303,nan,0.0626716
245,0.157757,0.0913966,0.0913966,0.0913966,0.0913966,0.00365106,0.0122991,0.0122991,0.0122991,0.0122991,0.0385919,0.0963043,0.0963043,0.0963043,0.0963043,0.0542764,0.1259,0.1259,0.1259,0.1259,0.0542764,0.0182553,nan,0.0614957
246,0.157478,0.0904835,0.0904835,0.0904835,0.0904835,0.00361234,0.0120566,0.0120566,0.0120566,0.0120566,0.0389096,0.0974599,0.0974599,0.0974599,0.0974599,0.0546615,0.127079,0.127079,0.127079,0.127079,0.0546615,0.0180617,nan,0.0602828
247,0.157208,0.0896085,0.0896085,0.0896085,0.0896085,0.00357016,0.0118076,0.0118076,0.0118076,0.0118076,0.0392216,0.0985838,0.0985838,0.0985838,0.0985838,0.0550384,0.128222,0.128222,0.128222,0.128222,0.0550384,0.0178508,nan,0.0590382
248,0.156947,0.0887712,0.0887712,0.0887712,0.0887712,0.00352476,0.0115535,0.0115535,0.0115535,0.0115535,0.0395278,0.0996753,0.0996753,0.0996753,0.0996753,0.055407,0.129331,0.129331,0.129331,0.129331,0.055407,0.0176238,nan,0.0577674
249,0.156696,0.0879711,0.0879711,0.0879711,0.0879711,0.00347637,0.011295,0.011295,0.011295,0.011295,0.0398276,0.100734,0.100734,0.100734,0.100734,0.0557671,0.130406,0.130406,0.130406,0.130406,0.0557671,0.0173819,nan,0.0564752
250,0.156454,0.0872074,0.0872074,0.0872074,0.0872074,0.00342526,0.0110333,0.0110333,0.0110333,0.0110333,0.0401207,0.101759,0.101759,0.101759,0.101759,0.0561187,0.131447,0.131447,0.131447,0.131447,0.0561187,0.0171263,nan,0.0551667
251,0.156221,0.0864795,0.0864795,0.0864795,0.0864795,0.00337167,0.0107693,0.0107693,0.0107693,0.0107693,0.040407,0.102751,0.102751,0.102751,0.102751,0.0564617,0.132455,0.132455,0.132455,0.132455,0.0564617,0.0168584,nan,0.0538463
252,0.155998,0.0857867,0.0857867,0.0857867,0.0857867,0.00331585,0.0105037,0.0105037,0.0105037,0.0105037,0.0406862,0.10371,0.10371,0.10371,0.10371,0.0567961,0.13343,0.13343,0.13343,0.13343,0.0567961,0.0165793,nan,0.0525183
253,0.155784,0.0851283,0.0851283,0.0851283,0.0851283,0.00325804,0.0102374,0.0102374,0.0102374,0.0102374,0.0409579,0.104634,0.104634,0.104634,0.104634,0.0571218,0.134374,0.134374,0.134374,0.134374,0.0571218,0.0162902,nan,0.0511868
254,0.15558,0.0845034,0.0845034,0.0845034,0.0845034,0.00319847,0.00997109,0.00997109,0.00997109,0.00997109,0.041222,0.105526,0.105526,0.105526,0.105526,0.057439,0.135287,0.135287,0.135287,0.135287,0.057439,0.0159923,nan,0.0498554
255,0.155384,0.0839112,0.0839112,0.0839112,0.0839112,0.00313737,0.00970555,0.00970555,0.00970555,0.00970555,0.0414784,0.106383,0.106383,0.106383,0.106383,0.0577476,0.13617,0.13617,0.13617,0.13617,0.0577476,0.0156869,nan,0.0485277
256,0.155198,0.0833508,0.0833508,0.0833508,0.0833508,0.00307498,0.00944137,0.00944137,0.00944137,0.00944137,0.0417269,0.107208,0.107208,0.107208,0.107208,0.0580477,0.137023,0.137023,0.137023,0.137023,0.0580477,0.0153749,nan,0.0472069
257,0.155021,0.0828215,0.0828215,0.0828215,0.0828215,0.0030115,0.00917914,0.00917914,0.00917914,0.00917914,0.0419674,0.107999,0.107999,0.107999,0.107999,0.0583393,0.137847,0.137847,0.137847,0.137847,0.0583393,0.0150575,nan,0.0458957
258,0.154853,0.0823222,0.0823222,0.0823222,0.0823222,0.00294715,0.00891939,0.00891939,0.00891939,0.00891939,0.0421998,0.108758,0.108758,0.108758,0.108758,0.0586226,0.138643,0.138643,0.138643,0.138643,0.0586226,0.0147357,nan,0.0445969
259,0.154694,0.0818522,0.0818522,0.0818522,0.0818522,0.00288211,0.00866259,0.00866259,0.00866259,0.00866259,0.042424,0.109485,0.109485,0.109485,0.109485,0.0588977,0.139412,0.139412,0.139412,0.139412,0.0588977,0.0144106,nan,0.043313
260,0.154543,0.0814105,0.0814105,0.0814105,0.0814105,0.00281658,0.00840917,0.00840917,0.00840917,0.00840917,0.0426399,0.11018,0.11018,0.11018,0.11018,0.0591647,0.140155,0.140155,0.140155,0.140155,0.0591647,0.0140829,nan,0.0420459
261,0.154402,0.0809963,0.0809963,0.0809963,0.0809963,0.00275074,0.00815951,0.00815951,0.00815951,0.00815951,0.0428477,0.110844,0.110844,0.110844,0.110844,0.0594237,0.140872,0.140872,0.140872,0.140872,0.0594237,0.0137537,nan,0.0407976
262,0.154268,0.0806086,0.0806086,0.0806086,0.0806086,0.00268475,0.00791395,0.00791395,0.00791395,0.00791395,0.0430471,0.111477,0.111477,0.111477,0.111477,0.0596748,0.141564,0.141564,0.141564,0.141564,0.0596748,0.0134238,nan,0.0395697
263,0.154143,0.0802467,0.0802467,0.0802467,0.0802467,0.00261877,0.00767277,0.00767277,0.00767277,0.00767277,0.0432384,0.112081,0.112081,0.112081,0.112081,0.0599183,0.142232,0.142232,0.142232,0.142232,0.0599183,0.0130938,nan,0.0383638
264,0.154026,0.0799096,0.0799096,0.0799096,0.0799096,0.00255294,0.00743622,0.00743622,0.00743622,0.00743622,0.0434214,0.112654,0.112654,0.112654,0.112654,0.0601542,0.142877,0.142877,0.142877,0.142877,0.0601542,0.0127647,nan,0.0371811
265,0.153916,0.0795965,0.0795965,0.0795965,0.0795965,0.0024874,0.00720453,0.00720453,0.00720453,0.00720453,0.0435963,0.113199,0.113199,0.113199,0.113199,0.0603827,0.143499,0.143499,0.143499,0.143499,0.0603827,0.012437,nan,0.0360226
266,0.153815,0.0793066,0.0793066,0.0793066,0.0793066,0.00242228,0.00697786,0.00697786,0.00697786,0.00697786,0.0437631,0.113716,0.113716,0.113716,0.113716,0.0606041,0.1441,0.1441,0.1441,0.1441,0.0606041,0.0121114,nan,0.0348893
267,0.15372,0.079039,0.079039,0.079039,0.079039,0.00235769,0.00675636,0.00675636,0.00675636,0.00675636,0.0439218,0.114205,0.114205,0.114205,0.114205,0.0608184,0.14468,0.14468,0.14468,0.14468,0.0608184,0.0117884,nan,0.0337818
268,0.153634,0.078793,0.078793,0.078793,0.078793,0.00229373,0.00654014,0.00654014,0.00654014,0.00654014,0.0440727,0.114667,0.114667,0.114667,0.114667,0.0610258,0.145239,0.145239,0.145239,0.145239,0.0610258,0.0114686,nan,0.0327007
269,0.153554,0.0785678,0.0785678,0.0785678,0.0785678,0.0022305,0.00632929,0.00632929,0.00632929,0.00632929,0.0442157,0.115103,0.115103,0.115103,0.115103,0.0612265,0.145779,0.145779,0.145779,0.145779,0.0612265,0.0111525,nan,0.0316465
270,0.153481,0.0783626,0.0783626,0.0783626,0.0783626,0.00216808,0.00612387,0.00612387,0.00612387,0.00612387,0.044351,0.115514,0.115514,0.115514,0.115514,0.0614207,0.146301,0.146301,0.146301,0.146301,0.0614207,0.0108404,nan,0.0306194
271,0.153415,0.0781767,0.0781767,0.0781767,0.0781767,0.00210656,0.00592392,0.00592392,0.00592392,0.00592392,0.0444787,0.115899,0.115899,0.115899,0.115899,0.0616086,0.146804,0.146804,0.146804,0.146804,0.0616086,0.0105328,nan,0.0296196
272,0.153355,0.0780093,0.0780093,0.0780093,0.0780093,0.002046,0.00572945,0.00572945,0.00572945,0.00572945,0.0445989,0.116261,0.116261,0.116261,0.116261,0.0617903,0.147289,0.147289,0.147289,0.147289,0.0617903,0.01023,nan,0.0286473
273,0.153302,0.0778598,0.0778598,0.0778598,0.0778598,0.00198646,0.00554046,0.00554046,0.00554046,0.00554046,0.0447119,0.1166,0.1166,0.1166,0.1166,0.0619661,0.147757,0.147757,0.147757,0.147757,0.0619661,0.00993232,nan,0.0277023
274,0.153254,0.0777275,0.0777275,0.0777275,0.0777275,0.001928,0.00535692,0.00535692,0.00535692,0.00535692,0.0448176,0.116916,0.116916,0.116916,0.116916,0.062136,0.14821,0.14821,0.14821,0.14821,0.062136,0.00964001,nan,0.0267846
275,0.153213,0.0776116,0.0776116,0.0776116,0.0776116,0.00187066,0.0051788,0.0051788,0.0051788,0.0051788,0.0449163,0.11721,0.11721,0.11721,0.11721,0.0623003,0.148646,0.148646,0.148646,0.148646,0.0623003,0.0093533,nan,0.025894
276,0.153177,0.0775117,0.0775117,0.0775117,0.0775117,0.00181448,0.00500605,0.00500605,0.00500605,0.00500605,0.0450081,0.117482,0.117482,0.117482,0.117482,0.0624591,0.149068,0.149068,0.149068,0.149068,0.0624591,0.00907239,nan,0.0250303
277,0.153147,0.077427,0.077427,0.077427,0.077427,0.00175949,0.00483861,0.00483861,0.00483861,0.00483861,0.0450932,0.117734,0.117734,0.117734,0.117734,0.0626126,0.149475,0.149475,0.149475,0.149475,0.0626126,0.00879743,nan,0.0241931
278,0.153123,0.077357,0.077357,0.077357,0.077357,0.00170571,0.00467641,0.00467641,0.00467641,0.00467641,0.0451717,0.117967,0.117967,0.117967,0.117967,0.062761,0.149867,0.149867,0.149867,0.149867,0.062761,0.00852856,nan,0.023382
279,0.153103,0.0773011,0.0773011,0.0773011,0.0773011,0.00165318,0.00451935,0.00451935,0.00451935,0.00451935,0.0452438,0.11818,0.11818,0.11818,0.11818,0.0629044,0.150247,0.150247,0.150247,0.150247,0.0629044,0.00826589,nan,0.0225968
280,0.153088,0.0772586,0.0772586,0.0772586,0.0772586,0.0016019,0.00436736,0.00436736,0.00436736,0.00436736,0.0453097,0.118374,0.118374,0.118374,0.118374,0.063043,0.150613,0.150613,0.150613,0.150613,0.063043,0.00800948,nan,0.0218368
281,0.153079,0.0772292,0.0772292,0.0772292,0.0772292,0.00155188,0.00422033,0.00422033,0.00422033,0.00422033,0.0453695,0.11855,0.11855,0.11855,0.11855,0.063177,0.150967,0.150967,0.150967,0.150967,0.063177,0.0077594,nan,0.0211016
282,0.153074,0.0772123,0.0772123,0.0772123,0.0772123,0.00150313,0.00407816,0.00407816,0.00407816,0.00407816,0.0454233,0.11871,0.11871,0.11871,0.11871,0.0633065,0.151309,0.151309,0.151309,0.151309,0.0633065,0.00751566,nan,0.0203908
283,0.153073,0.0772073,0.0772073,0.0772073,0.0772073,0.00145566,0.00394075,0.00394075,0.00394075,0.00394075,0.0454714,0.118852,0.118852,0.118852,0.118852,0.0634317,0.15164,0.15164,0.15164,0.15164,0.0634317,0.0072783,nan,0.0197038
284,0.153077,0.0772138,0.0772138,0.0772138,0.0772138,0.00140946,0.00380798,0.00380798,0.00380798,0.00380798,0.0455139,0.118978,0.118978,0.118978,0.118978,0.0635526,0.151959,0.151959,0.151959,0.151959,0.0635526,0.00704729,nan,0.0190399
285,0.153084,0.0772313,0.0772313,0.0772313,0.0772313,0.00136452,0.00367975,0.00367975,0.00367975,0.00367975,0.045551,0.119089,0.119089,0.119089,0.119089,0.0636695,0.152268,0.152268,0.152268,0.152268,0.0636695,0.00682261,nan,0.0183987
286,0.153096,0.0772594,0.0772594,0.0772594,0.0772594,0.00132085,0.00355592,0.00355592,0.00355592,0.00355592,0.0455829,0.119185,0.119185,0.119185,0.119185,0.0637825,0.152566,0.152566,0.152566,0.152566,0.0637825,0.00660423,nan,0.0177796
287,0.153112,0.0772977,0.0772977,0.0772977,0.0772977,0.00127842,0.00343639,0.00343639,0.00343639,0.00343639,0.0456096,0.119266,0.119266,0.119266,0.119266,0.0638917,0.152854,0.152854,0.152854,0.152854,0.0638917,0.00639209,nan,0.017182
288,0.153131,0.0773456,0.0773456,0.0773456,0.0773456,0.00123723,0.00332104,0.00332104,0.00332104,0.00332104,0.0456314,0.119333,0.119333,0.119333,0.119333,0.0639973,0.153133,0.153133,0.153133,0.153133,0.0639973,0.00618613,nan,0.0166052
289,0.153154,0.077403,0.077403,0.077403,0.077403,0.00119725,0.00320975,0.00320975,0.00320975,0.00320975,0.0456483,0.119387,0.119387,0.119387,0.119387,0.0640994,0.153403,0.153403,0.153403,0.153403,0.0640994,0.00598627,nan,0.0160488
290,0.153181,0.0774692,0.0774692,0.0774692,0.0774692,0.00115848,0.0031024,0.0031024,0.0031024,0.0031024,0.0456607,0.119428,0.119428,0.119428,0.119428,0.064198,0.153664,0.153664,0.153664,0.153664,0.064198,0.00579242,nan,0.015512
291,0.153211,0.077544,0.077544,0.077544,0.077544,0.0011209,0.00299886,0.00299886,0.00299886,0.00299886,0.0456686,0.119457,0.119457,0.119457,0.119457,0.0642934,0.153916,0.153916,0.153916,0.153916,0.0642934,0.00560449,nan,0.0149943
292,0.153243,0.0776271,0.0776271,0.0776271,0.0776271,0.00108448,0.00289903,0.00289903,0.00289903,0.00289903,0.0456721,0.119474,0.119474,0.119474,0.119474,0.0643857,0.15416,0.15416,0.15416,0.15416,0.0643857,0.00542239,nan,0.0144952
293,0.153279,0.077718,0.077718,0.077718,0.077718,0.0010492,0.00280279,0.00280279,0.00280279,0.00280279,0.0456715,0.119479,0.119479,0.119479,0.119479,0.0644749,0.154397,0.154397,0.154397,0.154397,0.0644749,0.00524599,nan,0.014014
294,0.153318,0.0778165,0.0778165,0.0778165,0.0778165,0.00101504,0.00271002,0.00271002,0.00271002,0.00271002,0.0456668,0.119473,0.119473,0.119473,0.119473,0.0645611,0.154626,0.154626,0.154626,0.154626,0.0645611,0.0050752,nan,0.0135501
295,0.15336,0.0779222,0.0779222,0.0779222,0.0779222,0.000981977,0.00262061,0.00262061,0.00262061,0.00262061,0.0456582,0.119457,0.119457,0.119457,0.119457,0.0646446,0.154847,0.154847,0.154847,0.154847,0.0646446,0.00490989,nan,0.013103
296,0.153404,0.0780349,0.0780349,0.0780349,0.0780349,0.000949987,0.00253444,0.00253444,0.00253444,0.00253444,0.0456458,0.119431,0.119431,0.119431,0.119431,0.0647253,0.155062,0.155062,0.155062,0.155062,0.0647253,0.00474993,nan,0.0126722
297,0.153451,0.0781542,0.0781542,0.0781542,0.0781542,0.000919043,0.00245141,0.00245141,0.00245141,0.00245141,0.0456298,0.119394,0.119394,0.119394,0.119394,0.0648034,0.15527,0.15527,0.15527,0.15527,0.0648034,0.00459522,nan,0.0122571
298,0.153501,0.0782799,0.0782799,0.0782799,0.0782799,0.000889122,0.00237141,0.00237141,0.00237141,0.00237141,0.0456103,0.119349,0.119349,0.119349,0.119349,0.064879,0.155471,0.155471,0.155471,0.155471,0.064879,0.00444561,nan,0.0118571
299,0.153552,0.0784117,0.0784117,0.0784117,0.0784117,0.000860197,0.00229434,0.00229434,0.00229434,0.00229434,0.0455874,0.119294,0.119294,0.119294,0.119294,0.0649521,0.155666,0.155666,0.155666,0.155666,0.0649521,0.00430098,nan,0.0114717
300,0.153606,0.0785493,0.0785493,0.0785493,0.0785493,0.000832242,0.00222009,0.00222009,0.00222009,0.00222009,0.0455613,0.119231,0.119231,0.119231,0.119231,0.0650229,0.155855,0.155855,0.155855,0.155855,0.0650229,0.00416121,nan,0.0111005
301,0.153663,0.0786925,0.0786925,0.0786925,0.0786925,0.000805233,0.00214857,0.00214857,0.00214857,0.00214857,0.0455321,0.119159,0.119159,0.119159,0.119159,0.0650914,0.156039,0.156039,0.156039,0.156039,0.0650914,0.00402616,nan,0.0107428
302,0.153721,0.0788411,0.0788411,0.0788411,0.0788411,0.000779141,0.00207967,0.00207967,0.00207967,0.00207967,0.0454998,0.119079,0.119079,0.119079,0.119079,0.0651577,0.156216,0.156216,0.156216,0.156216,0.0651577,0.00389571,nan,0.0103984
