 Iv,Is,Ig
0.00119266,0.00341391,0.00790882
0.00122593,0.0035097,0.00813105
0.00126018,0.00360826,0.00835944
0.00129543,0.00370966,0.00859407
0.00133172,0.00381394,0.00883504
0.00136905,0.00392116,0.00908244
0.00140746,0.00403138,0.00933633
0.00144695,0.00414463,0.00959681
0.00148755,0.00426098,0.00986393
0.00152929,0.00438045,0.0101377
0.00157217,0.0045031,0.0104183
0.00161622,0.00462896,0.0107056
0.00166145,0.00475806,0.0109998
0.00170788,0.00489044,0.0113007
0.00175552,0.00502613,0.0116085
0.00180438,0.00516514,0.0119231
0.00185448,0.0053075,0.0122444
0.00190583,0.0054532,0.0125725
0.00195843,0.00560227,0.0129072
0.00201229,0.0057547,0.0132485
0.00206741,0.00591047,0.0135963
0.0021238,0.00606958,0.0139504
0.00218146,0.006232,0.0143108
0.00224038,0.00639771,0.0146773
0.00230056,0.00656665,0.0150496
0.00236199,0.00673879,0.0154275
0.00242465,0.00691406,0.015811
0.00248854,0.00709239,0.0161996
0.00255363,0.00727371,0.016593
0.0026199,0.00745793,0.0169911
0.00268734,0.00764495,0.0173934
0.0027559,0.00783465,0.0177997
0.00282555,0.00802692,0.0182094
0.00289627,0.00822161,0.0186222
0.002968,0.00841858,0.0190377
0.0030407,0.00861766,0.0194553
0.00311433,0.0088187,0.0198747
0.00318883,0.0090215,0.0202952
0.00326413,0.00922586,0.0207163
0.00334018,0.00943157,0.0211375
0.00341691,0.00963842,0.0215581
0.00349425,0.00984617,0.0219776
0.00357212,0.0100546,0.0223954
0.00365043,0.0102634,0.0228107
0.00372911,0.0104723,0.0232229
0.00380807,0.0106811,0.0236313
0.0038872,0.0108894,0.0240353
0.00396642,0.011097,0.0244342
0.00404561,0.0113036,0.0248271
0.00412469,0.0115088,0.0252135
0.00420353,0.0117124,0.0255926
0.00428203,0.011914,0.0259637
0.00436008,0.0121132,0.0263262
0.00443755,0.0123098,0.0266792
0.00451434,0.0125034,0.0270221
0.00459032,0.0126937,0.0273542
0.00466536,0.0128804,0.027675
0.00473936,0.013063,0.0279837
