t,Sv0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Sg23,Iv0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Ig23,Rv0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,Rg23,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIg23,cumIv, pIv,pIs,pIg
579,0.0324891,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.0188472,0.000376567,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00125695,0.00713429,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.0198958,0.018174,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.0454124,0.018174,0.00941417,nan,0.0314238
580,0.0324624,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.0187525,0.00037884,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00125951,0.00715879,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.019988,0.0182204,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0455618,0.0182204,0.009471,nan,0.0314878
581,0.0324356,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.0186585,0.000380905,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00126133,0.00718347,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0200802,0.0182668,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0457107,0.0182668,0.00952262,nan,0.0315332
582,0.0324089,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.0185653,0.000382758,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.0012624,0.00720831,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0201723,0.0183132,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.045859,0.0183132,0.00956895,nan,0.03156
583,0.0323823,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.018473,0.000384398,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00126274,0.00723329,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0202643,0.0183596,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0460067,0.0183596,0.00960994,nan,0.0315684
584,0.0323558,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.0183817,0.000385822,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00126234,0.00725838,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.020356,0.018406,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.0461537,0.018406,0.00964554,nan,0.0315585
585,0.0323294,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.0182915,0.000387029,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00126123,0.00728356,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0204473,0.0184523,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0462998,0.0184523,0.00967572,nan,0.0315306
586,0.0323032,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.0182024,0.000388018,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.0012594,0.00730879,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0205382,0.0184985,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.046445,0.0184985,0.00970046,nan,0.0314849
587,0.0322772,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.0181145,0.00038879,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00125687,0.00733406,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0206287,0.0185446,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0465893,0.0185446,0.00971976,nan,0.0314218
588,0.0322513,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.0180278,0.000389345,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00125366,0.00735933,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0207185,0.0185905,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0467326,0.0185905,0.00973363,nan,0.0313415
589,0.0322257,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.0179425,0.000389684,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00124978,0.00738459,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0208077,0.0186363,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0468748,0.0186363,0.0097421,nan,0.0312445
590,0.0322004,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.0178586,0.000389808,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.00124525,0.0074098,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0208962,0.0186819,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0470158,0.0186819,0.0097452,nan,0.0311312
591,0.0321753,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.0177761,0.000389719,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00124008,0.00743495,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0209838,0.0187273,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0471557,0.0187273,0.00974298,nan,0.031002
592,0.0321506,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.0176951,0.00038942,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.0012343,0.00746001,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0210706,0.0187725,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0472943,0.0187725,0.00973551,nan,0.0308574
593,0.0321261,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.0176157,0.000388915,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00122792,0.00748495,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0211564,0.0188174,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0474316,0.0188174,0.00972286,nan,0.030698
594,0.032102,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.0175378,0.000388205,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00122097,0.00750976,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.0212412,0.018862,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.0475675,0.018862,0.00970513,nan,0.0305243
595,0.0320783,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.0174616,0.000387296,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.00121347,0.0075344,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0213249,0.0189064,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0477021,0.0189064,0.0096824,nan,0.0303369
596,0.032055,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.017387,0.000386191,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00120545,0.00755885,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0214075,0.0189504,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0478352,0.0189504,0.00965478,nan,0.0301362
597,0.032032,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.0173141,0.000384896,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.00119692,0.0075831,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0214889,0.0189941,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0479668,0.0189941,0.0096224,nan,0.029923
598,0.0320095,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.017243,0.000383415,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00118791,0.00760712,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0215691,0.0190374,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.048097,0.0190374,0.00958538,nan,0.0296978
599,0.0319874,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.0171736,0.000381754,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00117845,0.00763089,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.021648,0.0190804,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0482256,0.0190804,0.00954385,nan,0.0294612
