t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
116,0.175606,0.17472,0.174435,0.174435,0.174435,0.0015633,0.00168611,0.00172185,0.00172185,0.00172185,0.0228308,0.0235935,0.0238427,0.0238427,0.0238427,0.0268107,0.0277439,0.0280446,0.0280446,0.0280446,0.0268107,0.00781649,0.00843057,0.00860927
117,0.175535,0.174632,0.174345,0.174345,0.174345,0.00151691,0.00164501,0.00167964,0.00167964,0.00167964,0.0229478,0.023723,0.0239757,0.0239757,0.0239757,0.026944,0.0278972,0.0282008,0.0282008,0.0282008,0.026944,0.00758454,0.00822506,0.00839821
118,0.175469,0.174546,0.174256,0.174256,0.174256,0.00147169,0.00160671,0.00164024,0.00164024,0.00164024,0.0230591,0.0238475,0.0241035,0.0241035,0.0241035,0.0270732,0.0280486,0.0283551,0.0283551,0.0283551,0.0270732,0.00735843,0.00803356,0.00820122
119,0.175407,0.174462,0.17417,0.17417,0.17417,0.00142773,0.00157103,0.00160349,0.00160349,0.00160349,0.0231649,0.0239674,0.0242265,0.0242265,0.0242265,0.0271984,0.0281983,0.0285076,0.0285076,0.0285076,0.0271984,0.00713866,0.00785517,0.00801743
120,0.175349,0.174379,0.174086,0.174086,0.174086,0.00138511,0.00153782,0.00156921,0.00156921,0.00156921,0.0232654,0.0240829,0.0243451,0.0243451,0.0243451,0.0273199,0.0283464,0.0286584,0.0286584,0.0286584,0.0273199,0.00692557,0.00768909,0.00784605
121,0.175295,0.174299,0.174003,0.174003,0.174003,0.00134389,0.00150692,0.00153727,0.00153727,0.00153727,0.0233608,0.0241944,0.0244594,0.0244594,0.0244594,0.0274379,0.0284931,0.0288077,0.0288077,0.0288077,0.0274379,0.00671945,0.00753459,0.00768637
122,0.175245,0.17422,0.173923,0.173923,0.173923,0.0013041,0.0014782,0.00150755,0.00150755,0.00150755,0.0234511,0.0243021,0.0245699,0.0245699,0.0245699,0.0275525,0.0286386,0.0289556,0.0289556,0.0289556,0.0275525,0.00652048,0.00739102,0.00753777
123,0.175198,0.174142,0.173843,0.173843,0.173843,0.00126575,0.00145156,0.00147993,0.00147993,0.00147993,0.0235367,0.0244063,0.0246767,0.0246767,0.0246767,0.0276641,0.0287828,0.0291023,0.0291023,0.0291023,0.0276641,0.00632876,0.0072578,0.00739966
124,0.175154,0.174066,0.173766,0.173766,0.173766,0.00122887,0.00142688,0.0014543,0.0014543,0.0014543,0.0236176,0.0245073,0.0247802,0.0247802,0.0247802,0.0277728,0.0289261,0.0292478,0.0292478,0.0292478,0.0277728,0.00614435,0.0071344,0.00727152
125,0.175112,0.173991,0.173689,0.173689,0.173689,0.00119345,0.00140407,0.00143058,0.00143058,0.00143058,0.0236941,0.0246051,0.0248804,0.0248804,0.0248804,0.0278787,0.0290684,0.0293924,0.0293924,0.0293924,0.0278787,0.00596725,0.00702035,0.00715289
126,0.175074,0.173917,0.173614,0.173614,0.173614,0.00115949,0.00138304,0.00140867,0.00140867,0.00140867,0.0237664,0.0247002,0.0249778,0.0249778,0.0249778,0.027982,0.02921,0.0295361,0.0295361,0.0295361,0.027982,0.00579744,0.00691522,0.00704334
127,0.175038,0.173844,0.173539,0.173539,0.173539,0.00112697,0.00136373,0.0013885,0.0013885,0.0013885,0.0238346,0.0247926,0.0250724,0.0250724,0.0250724,0.0280829,0.0293509,0.0296791,0.0296791,0.0296791,0.0280829,0.00563483,0.00681863,0.00694249
128,0.175005,0.173771,0.173465,0.173465,0.173465,0.00109587,0.00134605,0.00137,0.00137,0.00137,0.0238988,0.0248827,0.0251645,0.0251645,0.0251645,0.0281814,0.0294913,0.0298216,0.0298216,0.0298216,0.0281814,0.00547934,0.00673023,0.00684999
129,0.174974,0.1737,0.173393,0.173393,0.173393,0.00106617,0.00132994,0.00135311,0.00135311,0.00135311,0.0239594,0.0249705,0.0252543,0.0252543,0.0252543,0.0282779,0.0296314,0.0299635,0.0299635,0.0299635,0.0282779,0.00533084,0.00664972,0.00676554
130,0.174946,0.173628,0.17332,0.17332,0.17332,0.00103784,0.00131537,0.00133777,0.00133777,0.00133777,0.0240164,0.0250563,0.025342,0.025342,0.025342,0.0283723,0.0297711,0.0301052,0.0301052,0.0301052,0.0283723,0.0051892,0.00657683,0.00668887
131,0.174919,0.173557,0.173248,0.173248,0.173248,0.00101085,0.00130226,0.00132395,0.00132395,0.00132395,0.0240701,0.0251403,0.0254277,0.0254277,0.0254277,0.0284648,0.0299107,0.0302466,0.0302466,0.0302466,0.0284648,0.00505427,0.00651132,0.00661973
132,0.174894,0.173487,0.173177,0.173177,0.173177,0.000985178,0.0012906,0.00131158,0.00131158,0.00131158,0.0241205,0.0252225,0.0255117,0.0255117,0.0255117,0.0285556,0.0300503,0.030388,0.030388,0.030388,0.0285556,0.00492589,0.00645298,0.00655791
133,0.174871,0.173416,0.173105,0.173105,0.173105,0.000960781,0.00128032,0.00130064,0.00130064,0.00130064,0.0241679,0.0253033,0.0255941,0.0255941,0.0255941,0.0286447,0.03019,0.0305295,0.0305295,0.0305295,0.0286447,0.0048039,0.00640162,0.00650322
134,0.17485,0.173346,0.173034,0.173034,0.173034,0.000937628,0.00127142,0.0012911,0.0012911,0.0012911,0.0242124,0.0253827,0.0256751,0.0256751,0.0256751,0.0287323,0.03033,0.0306712,0.0306712,0.0306712,0.0287323,0.00468814,0.00635709,0.00645551
135,0.17483,0.173275,0.172962,0.172962,0.172962,0.000915685,0.00126385,0.00128292,0.00128292,0.00128292,0.0242541,0.025461,0.0257548,0.0257548,0.0257548,0.0288185,0.0304703,0.0308132,0.0308132,0.0308132,0.0288185,0.00457842,0.00631925,0.00641462
136,0.174812,0.173204,0.172891,0.172891,0.172891,0.000894918,0.0012576,0.00127609,0.00127609,0.00127609,0.0242932,0.0255382,0.0258334,0.0258334,0.0258334,0.0289034,0.0306112,0.0309556,0.0309556,0.0309556,0.0289034,0.00447459,0.006288,0.00638045
137,0.174795,0.173133,0.172818,0.172818,0.172818,0.000875295,0.00125265,0.00127058,0.00127058,0.00127058,0.0243299,0.0256146,0.0259111,0.0259111,0.0259111,0.028987,0.0307527,0.0310987,0.0310987,0.0310987,0.028987,0.00437647,0.00626325,0.00635291
138,0.174779,0.173061,0.172746,0.172746,0.172746,0.00085678,0.00124899,0.00126638,0.00126638,0.00126638,0.0243642,0.0256903,0.025988,0.025988,0.025988,0.0290695,0.030895,0.0312425,0.0312425,0.0312425,0.0290695,0.0042839,0.00624493,0.00633192
139,0.174764,0.172988,0.172672,0.172672,0.172672,0.000839343,0.0012466,0.00126349,0.00126349,0.00126349,0.0243964,0.0257654,0.0260643,0.0260643,0.0260643,0.0291511,0.0310382,0.0313872,0.0313872,0.0313872,0.0291511,0.00419672,0.00623299,0.00631743
140,0.174751,0.172914,0.172598,0.172598,0.172598,0.000822951,0.00124549,0.00126189,0.00126189,0.00126189,0.0244265,0.0258401,0.0261401,0.0261401,0.0261401,0.0292316,0.0311825,0.0315329,0.0315329,0.0315329,0.0292316,0.00411476,0.00622743,0.00630943
