t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
141,0.174738,0.17284,0.172523,0.172523,0.172523,0.000807575,0.00124564,0.00126158,0.00126158,0.00126158,0.0244547,0.0259145,0.0262156,0.0262156,0.0262156,0.0293114,0.031328,0.0316798,0.0316798,0.0316798,0.0293114,0.00403788,0.00622822,0.00630789
142,0.174726,0.172764,0.172446,0.172446,0.172446,0.000793185,0.00124708,0.00126257,0.00126257,0.00126257,0.024481,0.0259889,0.026291,0.026291,0.026291,0.0293904,0.0314748,0.0318281,0.0318281,0.0318281,0.0293904,0.00396593,0.00623539,0.00631283
143,0.174715,0.172687,0.172369,0.172369,0.172369,0.000779754,0.00124979,0.00126486,0.00126486,0.00126486,0.0245057,0.0260632,0.0263663,0.0263663,0.0263663,0.0294687,0.0316232,0.0319778,0.0319778,0.0319778,0.0294687,0.00389877,0.00624897,0.00632428
144,0.174704,0.172608,0.17229,0.17229,0.17229,0.000767254,0.0012538,0.00126846,0.00126846,0.00126846,0.0245288,0.0261378,0.0264417,0.0264417,0.0264417,0.0295465,0.0317733,0.0321292,0.0321292,0.0321292,0.0295465,0.00383627,0.00626901,0.00634229
145,0.174694,0.172528,0.172209,0.172209,0.172209,0.000755662,0.00125912,0.00127339,0.00127339,0.00127339,0.0245504,0.0262127,0.0265175,0.0265175,0.0265175,0.0296237,0.0319252,0.0322824,0.0322824,0.0322824,0.0296237,0.00377831,0.0062956,0.00636693
146,0.174684,0.172446,0.172127,0.172127,0.172127,0.000744953,0.00126577,0.00127966,0.00127966,0.00127966,0.0245706,0.0262881,0.0265937,0.0265937,0.0265937,0.0297006,0.0320791,0.0324377,0.0324377,0.0324377,0.0297006,0.00372476,0.00632883,0.00639829
147,0.174675,0.172362,0.172042,0.172042,0.172042,0.000735106,0.00127376,0.0012873,0.0012873,0.0012873,0.0245896,0.0263641,0.0266705,0.0266705,0.0266705,0.0297771,0.0322353,0.0325951,0.0325951,0.0325951,0.0297771,0.00367553,0.00636881,0.00643649
148,0.174666,0.172276,0.171956,0.171956,0.171956,0.0007261,0.00128314,0.00129633,0.00129633,0.00129633,0.0246075,0.0264409,0.026748,0.026748,0.026748,0.0298533,0.0323938,0.0327548,0.0327548,0.0327548,0.0298533,0.0036305,0.00641568,0.00648165
149,0.174658,0.172187,0.171867,0.171867,0.171867,0.000717917,0.00129392,0.00130679,0.00130679,0.00130679,0.0246243,0.0265187,0.0268265,0.0268265,0.0268265,0.0299294,0.032555,0.0329171,0.0329171,0.0329171,0.0299294,0.00358958,0.0064696,0.00653393
150,0.174649,0.172096,0.171775,0.171775,0.171775,0.000710539,0.00130615,0.0013187,0.0013187,0.0013187,0.0246401,0.0265976,0.0269061,0.0269061,0.0269061,0.0300053,0.0327189,0.0330822,0.0330822,0.0330822,0.0300053,0.0035527,0.00653076,0.00659351
151,0.174641,0.172002,0.171681,0.171681,0.171681,0.000703952,0.00131987,0.00133212,0.00133212,0.00133212,0.0246551,0.0266779,0.0269869,0.0269869,0.0269869,0.0300813,0.0328858,0.0332503,0.0332503,0.0332503,0.0300813,0.00351976,0.00659935,0.00666059
152,0.174632,0.171905,0.171584,0.171584,0.171584,0.000698141,0.00133512,0.00134708,0.00134708,0.00134708,0.0246694,0.0267596,0.0270691,0.0270691,0.0270691,0.0301573,0.033056,0.0334216,0.0334216,0.0334216,0.0301573,0.00349071,0.0066756,0.00673539
153,0.174624,0.171805,0.171483,0.171483,0.171483,0.000693095,0.00135195,0.00136363,0.00136363,0.00136363,0.0246829,0.0268429,0.027153,0.027153,0.027153,0.0302334,0.0332296,0.0335963,0.0335963,0.0335963,0.0302334,0.00346547,0.00675977,0.00681817
154,0.174615,0.171702,0.17138,0.17138,0.17138,0.000688803,0.00137043,0.00138184,0.00138184,0.00138184,0.0246959,0.0269281,0.0272387,0.0272387,0.0272387,0.0303097,0.0334068,0.0337746,0.0337746,0.0337746,0.0303097,0.00344401,0.00685214,0.00690919
155,0.174606,0.171594,0.171272,0.171272,0.171272,0.000685256,0.0013906,0.00140175,0.00140175,0.00140175,0.0247084,0.0270152,0.0273263,0.0273263,0.0273263,0.0303863,0.0335881,0.0339569,0.0339569,0.0339569,0.0303863,0.00342628,0.00695301,0.00700876
156,0.174597,0.171483,0.17116,0.17116,0.17116,0.000682447,0.00141254,0.00142344,0.00142344,0.00142344,0.0247205,0.0271046,0.0274161,0.0274161,0.0274161,0.0304633,0.0337736,0.0341435,0.0341435,0.0341435,0.0304633,0.00341224,0.00706272,0.00711721
157,0.174587,0.171367,0.171045,0.171045,0.171045,0.000680372,0.00143633,0.00144698,0.00144698,0.00144698,0.0247322,0.0271965,0.0275084,0.0275084,0.0275084,0.0305407,0.0339636,0.0343344,0.0343344,0.0343344,0.0305407,0.00340186,0.00718163,0.00723491
158,0.174577,0.171247,0.170924,0.170924,0.170924,0.000679026,0.00146203,0.00147245,0.00147245,0.00147245,0.0247438,0.0272909,0.0276032,0.0276032,0.0276032,0.0306187,0.0341584,0.0345302,0.0345302,0.0345302,0.0306187,0.00339513,0.00731015,0.00736224
159,0.174566,0.171122,0.170799,0.170799,0.170799,0.000678408,0.00148974,0.00149993,0.00149993,0.00149993,0.0247551,0.0273882,0.0277008,0.0277008,0.0277008,0.0306973,0.0343583,0.0347311,0.0347311,0.0347311,0.0306973,0.00339204,0.00744871,0.00749965
160,0.174555,0.170992,0.170669,0.170669,0.170669,0.000678517,0.00151955,0.00152952,0.00152952,0.00152952,0.0247665,0.0274886,0.0278015,0.0278015,0.0278015,0.0307765,0.0345636,0.0349374,0.0349374,0.0349374,0.0307765,0.00339259,0.00759777,0.00764758
161,0.174543,0.170856,0.170533,0.170533,0.170533,0.000679356,0.00155157,0.00156131,0.00156131,0.00156131,0.0247778,0.0275923,0.0279055,0.0279055,0.0279055,0.0308566,0.0347748,0.0351495,0.0351495,0.0351495,0.0308566,0.00339678,0.00775784,0.00780655
162,0.17453,0.170715,0.170391,0.170391,0.170391,0.000680928,0.00158589,0.00159542,0.00159542,0.00159542,0.0247893,0.0276996,0.0280131,0.0280131,0.0280131,0.0309375,0.0349922,0.0353678,0.0353678,0.0353678,0.0309375,0.00340464,0.00792947,0.0079771
163,0.174516,0.170567,0.170244,0.170244,0.170244,0.000683238,0.00162265,0.00163196,0.00163196,0.00163196,0.0248009,0.0278107,0.0281245,0.0281245,0.0281245,0.0310194,0.0352161,0.0355926,0.0355926,0.0355926,0.0310194,0.00341619,0.00811325,0.0081598
164,0.174501,0.170412,0.170089,0.170089,0.170089,0.000686293,0.00166196,0.00167106,0.00167106,0.00167106,0.0248129,0.027926,0.02824,0.02824,0.02824,0.0311024,0.035447,0.0358244,0.0358244,0.0358244,0.0311024,0.00343147,0.0083098,0.0083553
165,0.174485,0.17025,0.169927,0.169927,0.169927,0.000690103,0.00170396,0.00171285,0.00171285,0.00171285,0.0248252,0.0280457,0.0283598,0.0283598,0.0283598,0.0311865,0.0356854,0.0360636,0.0360636,0.0360636,0.0311865,0.00345051,0.00851981,0.00856426
166,0.174467,0.170081,0.169758,0.169758,0.169758,0.000694677,0.0017488,0.00175748,0.00175748,0.00175748,0.0248379,0.0281701,0.0284844,0.0284844,0.0284844,0.0312719,0.0359317,0.0363107,0.0363107,0.0363107,0.0312719,0.00347339,0.00874402,0.00878742
167,0.174449,0.169904,0.169581,0.169581,0.169581,0.00070003,0.00179664,0.00180511,0.00180511,0.00180511,0.0248512,0.0282996,0.028614,0.028614,0.028614,0.0313586,0.0361863,0.0365662,0.0365662,0.0365662,0.0313586,0.00350015,0.0089832,0.00902555
168,0.174429,0.169718,0.169395,0.169395,0.169395,0.000706175,0.00184764,0.0018559,0.0018559,0.0018559,0.0248652,0.0284345,0.028749,0.028749,0.028749,0.0314468,0.0364499,0.0368305,0.0368305,0.0368305,0.0314468,0.00353087,0.0092382,0.00927949
169,0.174407,0.169523,0.1692,0.1692,0.1692,0.000713129,0.00190199,0.00191003,0.00191003,0.00191003,0.0248798,0.0285751,0.0288898,0.0288898,0.0288898,0.0315365,0.036723,0.0371044,0.0371044,0.0371044,0.0315365,0.00356565,0.00950994,0.00955015
170,0.174384,0.169318,0.168996,0.168996,0.168996,0.000720912,0.00195987,0.0019677,0.0019677,0.0019677,0.0248953,0.0287219,0.0290366,0.0290366,0.0290366,0.031628,0.0370062,0.0373882,0.0373882,0.0373882,0.031628,0.00360456,0.00979936,0.00983849
171,0.174359,0.169103,0.168781,0.168781,0.168781,0.000729543,0.0020215,0.00202911,0.00202911,0.00202911,0.0249117,0.0288753,0.02919,0.02919,0.02919,0.0317212,0.0373001,0.0376828,0.0376828,0.0376828,0.0317212,0.00364772,0.0101075,0.0101455
172,0.174332,0.168877,0.168555,0.168555,0.168555,0.000739047,0.0020871,0.00209447,0.00209447,0.00209447,0.0249291,0.0290356,0.0293504,0.0293504,0.0293504,0.0318164,0.0376054,0.0379887,0.0379887,0.0379887,0.0318164,0.00369523,0.0104355,0.0104724
173,0.174303,0.16864,0.168318,0.168318,0.168318,0.000749447,0.0021569,0.00216404,0.00216404,0.00216404,0.0249476,0.0292034,0.0295182,0.0295182,0.0295182,0.0319136,0.0379227,0.0383067,0.0383067,0.0383067,0.0319136,0.00374724,0.0107845,0.0108202
174,0.174272,0.16839,0.168068,0.168068,0.168068,0.000760772,0.00223116,0.00223805,0.00223805,0.00223805,0.0249673,0.0293792,0.0296939,0.0296939,0.0296939,0.0320131,0.038253,0.0386375,0.0386375,0.0386375,0.0320131,0.00380386,0.0111558,0.0111903
175,0.174239,0.168127,0.167805,0.167805,0.167805,0.000773049,0.00231014,0.00231678,0.00231678,0.00231678,0.0249884,0.0295633,0.029878,0.029878,0.029878,0.0321148,0.0385969,0.038982,0.038982,0.038982,0.0321148,0.00386525,0.0115507,0.0115839
176,0.174203,0.167849,0.167528,0.167528,0.167528,0.000786312,0.00239414,0.00240051,0.00240051,0.00240051,0.0250109,0.0297565,0.030071,0.030071,0.030071,0.0322191,0.0389553,0.0393409,0.0393409,0.0393409,0.0322191,0.00393156,0.0119707,0.0120025
177,0.174165,0.167557,0.167237,0.167237,0.167237,0.000800594,0.00248345,0.00248954,0.00248954,0.00248954,0.0250349,0.0299592,0.0302736,0.0302736,0.0302736,0.0323259,0.0393291,0.0397152,0.0397152,0.0397152,0.0323259,0.00400297,0.0124172,0.0124477
178,0.174123,0.167249,0.166929,0.166929,0.166929,0.00081593,0.0025784,0.00258419,0.00258419,0.00258419,0.0250606,0.0301721,0.0304864,0.0304864,0.0304864,0.0324356,0.0397194,0.0401058,0.0401058,0.0401058,0.0324356,0.00407965,0.012892,0.012921
179,0.17408,0.166925,0.166605,0.166605,0.166605,0.000832359,0.00267933,0.00268482,0.00268482,0.00268482,0.025088,0.0303959,0.0307099,0.0307099,0.0307099,0.0325482,0.040127,0.0405138,0.0405138,0.0405138,0.0325482,0.0041618,0.0133967,0.0134241
180,0.174033,0.166582,0.166263,0.166263,0.166263,0.000849923,0.00278662,0.00279177,0.00279177,0.00279177,0.0251174,0.0306311,0.0309449,0.0309449,0.0309449,0.0326639,0.0405532,0.0409402,0.0409402,0.0409402,0.0326639,0.00424961,0.0139331,0.0139589
181,0.173983,0.166221,0.165902,0.165902,0.165902,0.000868662,0.00290064,0.00290544,0.00290544,0.00290544,0.0251488,0.0308786,0.0311921,0.0311921,0.0311921,0.0327829,0.0409989,0.0413862,0.0413862,0.0413862,0.0327829,0.00434331,0.0145032,0.0145272
182,0.173929,0.165839,0.165521,0.165521,0.165521,0.000888622,0.0030218,0.00302622,0.00302622,0.00302622,0.0251824,0.0311392,0.0314524,0.0314524,0.0314524,0.0329053,0.0414656,0.041853,0.041853,0.041853,0.0329053,0.00444311,0.015109,0.0151311
183,0.173872,0.165436,0.165119,0.165119,0.165119,0.000909851,0.00315053,0.00315455,0.00315455,0.00315455,0.0252183,0.0314135,0.0317264,0.0317264,0.0317264,0.0330315,0.0419544,0.0423419,0.0423419,0.0423419,0.0330315,0.00454926,0.0157526,0.0157727
184,0.173811,0.16501,0.164694,0.164694,0.164694,0.000932396,0.00328728,0.00329087,0.00329087,0.00329087,0.0252566,0.0317026,0.032015,0.032015,0.032015,0.0331615,0.0424666,0.0428542,0.0428542,0.0428542,0.0331615,0.00466198,0.0164364,0.0164544
185,0.173746,0.16456,0.164245,0.164245,0.164245,0.000956309,0.00343252,0.00343565,0.00343565,0.00343565,0.0252975,0.0320073,0.0323193,0.0323193,0.0323193,0.0332956,0.0430039,0.0433914,0.0433914,0.0433914,0.0332956,0.00478155,0.0171626,0.0171783
186,0.173677,0.164085,0.163771,0.163771,0.163771,0.000981642,0.00358676,0.00358939,0.00358939,0.00358939,0.0253412,0.0323287,0.0326401,0.0326401,0.0326401,0.033434,0.0435676,0.0439549,0.0439549,0.0439549,0.033434,0.00490821,0.0179338,0.017947
187,0.173604,0.163582,0.163269,0.163269,0.163269,0.00100845,0.0037505,0.0037526,0.0037526,0.0037526,0.0253878,0.0326676,0.0329785,0.0329785,0.0329785,0.0335769,0.0441593,0.0445464,0.0445464,0.0445464,0.0335769,0.00504224,0.0187525,0.018763
188,0.173526,0.16305,0.162739,0.162739,0.162739,0.00103678,0.00392427,0.0039258,0.0039258,0.0039258,0.0254375,0.0330253,0.0333355,0.0333355,0.0333355,0.0337245,0.0447808,0.0451675,0.0451675,0.0451675,0.0337245,0.00518391,0.0196214,0.019629
189,0.173443,0.162488,0.162178,0.162178,0.162178,0.0010667,0.00410864,0.00410955,0.00410955,0.00410955,0.0254905,0.0334029,0.0337124,0.0337124,0.0337124,0.0338772,0.0454337,0.0458199,0.0458199,0.0458199,0.0338772,0.0053335,0.0205432,0.0205477
190,0.173355,0.161894,0.161585,0.161585,0.161585,0.00109826,0.00430418,0.00430441,0.00430441,0.00430441,0.0255469,0.0338016,0.0341103,0.0341103,0.0341103,0.034035,0.04612,0.0465056,0.0465056,0.0465056,0.034035,0.00549129,0.0215209,0.0215221
191,0.173262,0.161266,0.160958,0.160958,0.160958,0.00113151,0.00451146,0.00451097,0.00451097,0.00451097,0.0256069,0.0342227,0.0345305,0.0345305,0.0345305,0.0341984,0.0468415,0.0472264,0.0472264,0.0472264,0.0341984,0.00565756,0.0225573,0.0225549
192,0.173163,0.160601,0.160296,0.160296,0.160296,0.00116652,0.00473107,0.00472981,0.00472981,0.00472981,0.0256707,0.0346674,0.0349744,0.0349744,0.0349744,0.0343674,0.0476003,0.0479843,0.0479843,0.0479843,0.0343674,0.00583258,0.0236554,0.0236491
193,0.173058,0.159899,0.159595,0.159595,0.159595,0.00120332,0.00496363,0.00496153,0.00496153,0.00496153,0.0257385,0.0351373,0.0354432,0.0354432,0.0354432,0.0345425,0.0483983,0.0487813,0.0487813,0.0487813,0.0345425,0.00601662,0.0248181,0.0248076
194,0.172947,0.159156,0.158855,0.158855,0.158855,0.00124199,0.00520972,0.00520672,0.00520672,0.00520672,0.0258106,0.0356338,0.0359386,0.0359386,0.0359386,0.0347238,0.0492379,0.0496196,0.0496196,0.0496196,0.0347238,0.00620995,0.0260486,0.0260336
195,0.17283,0.158372,0.158072,0.158072,0.158072,0.00128256,0.00546994,0.00546596,0.00546596,0.00546596,0.025887,0.0361585,0.036462,0.036462,0.036462,0.0349117,0.0501211,0.0505015,0.0505015,0.0505015,0.0349117,0.00641281,0.0273497,0.0273298
196,0.172707,0.157542,0.157245,0.157245,0.157245,0.00132508,0.00574486,0.00573984,0.00573984,0.00573984,0.0259681,0.0367128,0.037015,0.037015,0.037015,0.0351063,0.0510502,0.051429,0.051429,0.051429,0.0351063,0.00662542,0.0287243,0.0286992
197,0.172576,0.156666,0.156372,0.156372,0.156372,0.0013696,0.00603504,0.00602889,0.00602889,0.00602889,0.026054,0.0372986,0.0375993,0.0375993,0.0375993,0.035308,0.0520275,0.0524046,0.0524046,0.0524046,0.035308,0.00684798,0.0301752,0.0301445
198,0.172438,0.155745,0.155454,0.155454,0.155454,0.00141731,0.00633731,0.00633003,0.00633003,0.00633003,0.0261451,0.0379174,0.0382165,0.0382165,0.0382165,0.0355183,0.0530516,0.0534267,0.0534267,0.0534267,0.0355183,0.00708656,0.0316866,0.0316501
199,0.172289,0.154782,0.154493,0.154493,0.154493,0.00146927,0.00664784,0.00663947,0.00663947,0.00663947,0.0262417,0.0385702,0.0388675,0.0388675,0.0388675,0.0357386,0.0541196,0.0544928,0.0544928,0.0544928,0.0357386,0.00734636,0.0332392,0.0331973
200,0.17213,0.153776,0.15349,0.15349,0.15349,0.00152525,0.00696611,0.0069567,0.0069567,0.0069567,0.0263444,0.0392578,0.0395533,0.0395533,0.0395533,0.0359693,0.0552322,0.0556032,0.0556032,0.0556032,0.0359693,0.00762626,0.0348305,0.0347835
201,0.171961,0.152727,0.152444,0.152444,0.152444,0.00158504,0.00729151,0.00728111,0.00728111,0.00728111,0.0264535,0.0399811,0.0402746,0.0402746,0.0402746,0.0362105,0.0563894,0.0567583,0.0567583,0.0567583,0.0362105,0.00792519,0.0364575,0.0364055
202,0.171782,0.151636,0.151356,0.151356,0.151356,0.00164841,0.00762332,0.00761197,0.00761197,0.00761197,0.0265695,0.0407407,0.0410321,0.0410321,0.0410321,0.0364625,0.0575913,0.057958,0.057958,0.057958,0.0364625,0.00824205,0.0381166,0.0380598
203,0.171592,0.150502,0.150225,0.150225,0.150225,0.00171514,0.00796074,0.00794847,0.00794847,0.00794847,0.0266927,0.0415372,0.0418265,0.0418265,0.0418265,0.0367255,0.058838,0.0592023,0.0592023,0.0592023,0.0367255,0.00857572,0.0398037,0.0397423
204,0.171391,0.149326,0.149052,0.149052,0.149052,0.00178501,0.00830285,0.00828969,0.00828969,0.00828969,0.0268236,0.0423711,0.0426581,0.0426581,0.0426581,0.0369995,0.0601289,0.060491,0.060491,0.060491,0.0369995,0.00892506,0.0415142,0.0414484
205,0.17118,0.148109,0.147838,0.147838,0.147838,0.00185778,0.00864863,0.00863461,0.00863461,0.00863461,0.0269624,0.0432428,0.0435275,0.0435275,0.0435275,0.0372848,0.0614637,0.0618233,0.0618233,0.0618233,0.0372848,0.0092889,0.0432432,0.0431731
206,0.170957,0.14685,0.146583,0.146583,0.146583,0.0019332,0.00899697,0.00898213,0.00898213,0.00898213,0.0271095,0.0441527,0.0444348,0.0444348,0.0444348,0.0375814,0.0628416,0.0631987,0.0631987,0.0631987,0.0375814,0.00966598,0.0449849,0.0449106
207,0.170724,0.145553,0.145289,0.145289,0.145289,0.002011,0.00934667,0.00933102,0.00933102,0.00933102,0.0272652,0.0451007,0.0453803,0.0453803,0.0453803,0.0378893,0.0642616,0.064616,0.064616,0.064616,0.0378893,0.010055,0.0467333,0.0466551
208,0.17048,0.144217,0.143956,0.143956,0.143956,0.00209093,0.00969643,0.00968001,0.00968001,0.00968001,0.0274295,0.0460869,0.0463639,0.0463639,0.0463639,0.0382085,0.0657224,0.0660742,0.0660742,0.0660742,0.0382085,0.0104546,0.0484821,0.0484
209,0.170224,0.142844,0.142587,0.142587,0.142587,0.00217268,0.0100449,0.0100277,0.0100277,0.0100277,0.0276029,0.047111,0.0473853,0.0473853,0.0473853,0.038539,0.0672227,0.0675718,0.0675718,0.0675718,0.038539,0.0108634,0.0502244,0.0501385
210,0.169959,0.141437,0.141183,0.141183,0.141183,0.00225596,0.0103906,0.0103727,0.0103727,0.0103727,0.0277854,0.0481729,0.0484444,0.0484444,0.0484444,0.0388807,0.0687608,0.0691071,0.0691071,0.0691071,0.0388807,0.0112798,0.0519529,0.0518634
211,0.169682,0.139996,0.139746,0.139746,0.139746,0.00234044,0.010732,0.0107134,0.0107134,0.0107134,0.0279772,0.0492719,0.0495405,0.0495405,0.0495405,0.0392334,0.0703347,0.0706782,0.0706782,0.0706782,0.0392334,0.0117022,0.0536601,0.0535672
212,0.169396,0.138525,0.138279,0.138279,0.138279,0.00242581,0.0110677,0.0110484,0.0110484,0.0110484,0.0281784,0.0504073,0.050673,0.050673,0.050673,0.0395968,0.0719423,0.072283,0.072283,0.072283,0.0395968,0.0121291,0.0553383,0.0552422
213,0.169099,0.137026,0.136783,0.136783,0.136783,0.00251171,0.011396,0.0113761,0.0113761,0.0113761,0.028389,0.0515783,0.051841,0.051841,0.051841,0.0399708,0.0735813,0.0739191,0.0739191,0.0739191,0.0399708,0.0125586,0.0569798,0.0568805
214,0.168793,0.135501,0.135262,0.135262,0.135262,0.00259779,0.0117153,0.0116948,0.0116948,0.0116948,0.028609,0.0527839,0.0530435,0.0530435,0.0530435,0.040355,0.0752492,0.075584,0.075584,0.075584,0.040355,0.012989,0.0585764,0.0584741
215,0.168478,0.133953,0.133718,0.133718,0.133718,0.00268369,0.0120241,0.0120031,0.0120031,0.0120031,0.0288385,0.0540228,0.0542793,0.0542793,0.0542793,0.040749,0.0769432,0.077275,0.077275,0.077275,0.040749,0.0134184,0.0601204,0.0600153
216,0.168154,0.132386,0.132154,0.132154,0.132154,0.00276901,0.0123208,0.0122992,0.0122992,0.0122992,0.0290773,0.0552936,0.0555469,0.0555469,0.0555469,0.0411525,0.0786604,0.0789893,0.0789893,0.0789893,0.0411525,0.0138451,0.061604,0.0614962
217,0.167821,0.130801,0.130573,0.130573,0.130573,0.0028534,0.0126039,0.0125818,0.0125818,0.0125818,0.0293253,0.0565947,0.0568448,0.0568448,0.0568448,0.041565,0.0803979,0.0807237,0.0807237,0.0807237,0.041565,0.014267,0.0630194,0.0629092
218,0.167481,0.129204,0.128979,0.128979,0.128979,0.00293646,0.0128719,0.0128494,0.0128494,0.0128494,0.0295825,0.0579244,0.0581712,0.0581712,0.0581712,0.0419858,0.0821525,0.0824752,0.0824752,0.0824752,0.0419858,0.0146823,0.0643595,0.064247
219,0.167134,0.127596,0.127375,0.127375,0.127375,0.00301781,0.0131234,0.0131005,0.0131005,0.0131005,0.0298485,0.0592808,0.0595242,0.0595242,0.0595242,0.0424146,0.0839209,0.0842406,0.0842406,0.0842406,0.0424146,0.0150891,0.0656172,0.0655026
220,0.16678,0.125981,0.125764,0.125764,0.125764,0.00309707,0.0133572,0.0133339,0.0133339,0.0133339,0.0301231,0.0606617,0.0609018,0.0609018,0.0609018,0.0428507,0.0856999,0.0860165,0.0860165,0.0860165,0.0428507,0.0154854,0.0667861,0.0666697
221,0.16642,0.124363,0.12415,0.12415,0.12415,0.00317387,0.0135721,0.0135484,0.0135484,0.0135484,0.0304061,0.062065,0.0623017,0.0623017,0.0623017,0.0432934,0.0874861,0.0877997,0.0877997,0.0877997,0.0432934,0.0158694,0.0678603,0.0677422
222,0.166055,0.122745,0.122535,0.122535,0.122535,0.00324785,0.0137669,0.013743,0.013743,0.013743,0.0306971,0.0634883,0.0637216,0.0637216,0.0637216,0.0437421,0.0892763,0.0895868,0.0895868,0.0895868,0.0437421,0.0162392,0.0688344,0.0687149
223,0.165686,0.12113,0.120924,0.120924,0.120924,0.00331865,0.0139408,0.0139166,0.0139166,0.0139166,0.0309958,0.0649292,0.0651591,0.0651591,0.0651591,0.044196,0.091067,0.0913744,0.0913744,0.0913744,0.044196,0.0165932,0.0697039,0.0695831
224,0.165312,0.119522,0.11932,0.11932,0.11932,0.00338594,0.0140929,0.0140686,0.0140686,0.0140686,0.0313017,0.0663852,0.0666116,0.0666116,0.0666116,0.0446545,0.092855,0.0931594,0.0931594,0.0931594,0.0446545,0.0169297,0.0704647,0.070343
225,0.164936,0.117924,0.117725,0.117725,0.117725,0.00344941,0.0142228,0.0141983,0.0141983,0.0141983,0.0316143,0.0678536,0.0680766,0.0680766,0.0680766,0.0451169,0.0946372,0.0949386,0.0949386,0.0949386,0.0451169,0.017247,0.0711138,0.0709913
226,0.164558,0.116338,0.116144,0.116144,0.116144,0.00350876,0.0143297,0.0143051,0.0143051,0.0143051,0.0319333,0.0693318,0.0695513,0.0695513,0.0695513,0.0455822,0.0964103,0.0967087,0.0967087,0.0967087,0.0455822,0.0175438,0.0716487,0.0715257
227,0.164178,0.114769,0.114578,0.114578,0.114578,0.00356374,0.0144136,0.0143889,0.0143889,0.0143889,0.0322581,0.0708171,0.0710331,0.0710331,0.0710331,0.0460499,0.0981714,0.0984669,0.0984669,0.0984669,0.0460499,0.0178187,0.0720681,0.0719447
228,0.163798,0.113219,0.113031,0.113031,0.113031,0.0036141,0.0144742,0.0144495,0.0144495,0.0144495,0.0325881,0.0723068,0.0725193,0.0725193,0.0725193,0.0465191,0.0999177,0.10021,0.10021,0.10021,0.0465191,0.0180705,0.072371,0.0722475
229,0.163418,0.11169,0.111506,0.111506,0.111506,0.00365964,0.0145115,0.0144868,0.0144868,0.0144868,0.0329228,0.0737981,0.0740071,0.0740071,0.0740071,0.0469891,0.101646,0.101936,0.101936,0.101936,0.0469891,0.0182982,0.0725576,0.0724342
230,0.163038,0.110186,0.110005,0.110005,0.110005,0.00370018,0.0145258,0.0145011,0.0145011,0.0145011,0.0332616,0.0752883,0.0754939,0.0754939,0.0754939,0.0474591,0.103355,0.103642,0.103642,0.103642,0.0474591,0.0185009,0.0726288,0.0725057
231,0.162661,0.108708,0.10853,0.10853,0.10853,0.00373557,0.0145172,0.0144927,0.0144927,0.0144927,0.0336039,0.0767747,0.0769769,0.0769769,0.0769769,0.0479284,0.105041,0.105325,0.105325,0.105325,0.0479284,0.0186778,0.0725861,0.0724635
232,0.162285,0.107259,0.107084,0.107084,0.107084,0.0037657,0.0144864,0.014462,0.014462,0.014462,0.0339491,0.0782548,0.0784536,0.0784536,0.0784536,0.0483962,0.106703,0.106984,0.106984,0.106984,0.0483962,0.0188285,0.0724318,0.07231
233,0.161913,0.10584,0.105669,0.105669,0.105669,0.0037905,0.0144338,0.0144096,0.0144096,0.0144096,0.0342965,0.0797259,0.0799214,0.0799214,0.0799214,0.048862,0.108338,0.108617,0.108617,0.108617,0.048862,0.0189525,0.072169,0.0720481
234,0.161545,0.104454,0.104286,0.104286,0.104286,0.00380992,0.0143602,0.0143363,0.0143363,0.0143363,0.0346456,0.0811857,0.0813778,0.0813778,0.0813778,0.0493249,0.109945,0.110221,0.110221,0.110221,0.0493249,0.0190496,0.0718012,0.0716814
235,0.16118,0.103102,0.102937,0.102937,0.102937,0.00382395,0.0142665,0.0142428,0.0142428,0.0142428,0.0349956,0.0826317,0.0828205,0.0828205,0.0828205,0.0497844,0.111521,0.111795,0.111795,0.111795,0.0497844,0.0191198,0.0713325,0.0712139
236,0.160821,0.101785,0.101623,0.101623,0.101623,0.00383261,0.0141535,0.0141301,0.0141301,0.0141301,0.035346,0.0840618,0.0842473,0.0842473,0.0842473,0.0502398,0.113067,0.113338,0.113338,0.113338,0.0502398,0.0191631,0.0707675,0.0706504
237,0.160468,0.100504,0.100345,0.100345,0.100345,0.00383595,0.0140223,0.0139991,0.0139991,0.0139991,0.0356962,0.0854736,0.0856559,0.0856559,0.0856559,0.0506906,0.11458,0.114848,0.114848,0.114848,0.0506906,0.0191798,0.0701113,0.0699956
238,0.16012,0.0992609,0.0991045,0.0991045,0.0991045,0.00383405,0.0138738,0.013851,0.013851,0.013851,0.0360455,0.0868653,0.0870444,0.0870444,0.0870444,0.0511363,0.116059,0.116325,0.116325,0.116325,0.0511363,0.0191702,0.069369,0.0692551
239,0.15978,0.0980558,0.0979022,0.0979022,0.0979022,0.00382701,0.0137093,0.0136869,0.0136869,0.0136869,0.0363933,0.088235,0.088411,0.088411,0.088411,0.0515763,0.117504,0.117768,0.117768,0.117768,0.0515763,0.019135,0.0685463,0.0684343
